ORF	NAME
YHR151C	MTC6
YKL002W	DID4
YNR035C	ARC35
YGL001C	ERG26
YBR252W	DUT1
YDR233C	RTN1
YBR010W	HHT1
YLR048W	RPS0B
YBR025C	OLA1
YPL259C	APM1
YHR094C	HXT1
YGR185C	TYS1
YJL154C	VPS35
YAR002C-A	ERP1
YBR241C	-
YBR121C	GRS1
YLR413W	INA1
YML112W	CTK3
YMR058W	FET3
YDL222C	FMP45
YKL056C	TMA19
YKR068C	BET3
YDR508C	GNP1
YOL088C	MPD2
YMR095C	SNO1
YPR048W	TAH18
YNL118C	DCP2
YER165W	PAB1
YKL069W	-
YLR337C	VRP1
YBL039W-A	-
YGL189C	RPS26A
YCR093W	CDC39
YDL182W	LYS20
YDR345C	HXT3
YAL060W	BDH1
YLR192C	HCR1
YLR044C	PDC1
YBL049W	MOH1
YER092W	IES5
YBL067C	UBP13
YMR125W	STO1
YIL067C	-
YKL041W	VPS24
YDL133C-A	RPL41B
YDL040C	NAT1
YHR012W	VPS29
YNR051C	BRE5
YDL099W	BUG1
YIL115C	NUP159
YLR441C	RPS1A
YER062C	GPP2
YOR069W	VPS5
YKL054C	DEF1
YOL016C	CMK2
YMR135C	GID8
YFR029W	PTR3
YMR011W	HXT2
YER143W	DDI1
YML121W	GTR1
YDL013W	SLX5
YDR037W	KRS1
YBR289W	SNF5
YER057C	HMF1
YOL158C	ENB1
YJL026W	RNR2
YMR116C	ASC1
YJL061W	NUP82
YBR137W	-
YER056C	FCY2
YGR055W	MUP1
YBL034C	STU1
YIL097W	FYV10
YIL053W	GPP1
YPL265W	DIP5
YHR096C	HXT5
YBR207W	FTH1
YHL020C	OPI1
YDR158W	HOM2
YJL006C	CTK2
YFR030W	MET10
YLR025W	SNF7
YML016C	PPZ1
YMR314W	PRE5
YGR159C	NSR1
YHR016C	YSC84
YEL007W	MIT1
YNL110C	NOP15
YGR026W	-
YMR266W	RSN1
YBR068C	BAP2
YOR039W	CKB2
YHR137W	ARO9
YDR393W	SHE9
YLR430W	SEN1
YLR134W	PDC5
YOL040C	RPS15
YFL013C	IES1
YNR023W	SNF12
YLR328W	NMA1
YIL119C	RPI1
YDL204W	RTN2
YJR010W	MET3
YBL068W	PRS4
YLR315W	NKP2
YDR486C	VPS60
YGL019W	CKB1
YPR173C	VPS4
YLR451W	LEU3
YOL110W	SHR5
YLR119W	SRN2
YOR357C	SNX3
YAR035W	YAT1
YGR208W	SER2
YLR212C	TUB4
YKL006W	RPL14A
YMR288W	HSH155
YNL197C	WHI3
YJL190C	RPS22A
YDR377W	ATP17
YLL034C	RIX7
YER095W	RAD51
YBR201W	DER1
YBR151W	APD1
YJL080C	SCP160
YML067C	ERV41
YNL290W	RFC3
YEL046C	GLY1
YBR123C	TFC1
YLR045C	STU2
YBL101W-C	-
YBL027W	RPL19B
YML076C	WAR1
YLR390W-A	CCW14
YBR143C	SUP45
YBR166C	TYR1
YBR127C	VMA2
YDR454C	GUK1
YPR029C	APL4
YKL140W	TGL1
